Tissue,Cell Type,Cell Count,Tissue Composition,Disease,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,normal,211048,0.14%,normal,PDE4DIP,1.649346644,0.091751905,15470
brain,normal,211048,0.02%,normal,AC159540.1,1.610076692,0.076900478,2010
brain,normal,211048,0.00%,normal,RP11-289H16.1,1.546170507,0.052731921,7
brain,normal,211048,,normal,RP11-219A15.1,,,
brain,normal,211048,0.00%,normal,LINC01609,1.562344184,0.058848613,13
brain,normal,211048,0.01%,normal,PHYHIP,1.600112554,0.07313216,1098
brain,normal,211048,0.00%,normal,RP11-745L13.2,1.567275839,0.060713705,47
brain,normal,189752,0.06%,normal,SLC26A3,1.662204725,0.096614678,6903
brain,normal,189752,0.02%,normal,RASGEF1B,1.764900639,0.135453048,2726
brain,normal,189752,0.05%,normal,RP11-701H24.9,2.26107465,0.323100143,5440
brain,normal,189752,0.00%,normal,LINGO3,1.613534573,0.078208207,226
brain,normal,189752,0.12%,normal,PDE4DIP,1.687957714,0.106354152,12827
brain,normal,189752,0.03%,normal,AC159540.1,1.624442256,0.082333363,2868
brain,normal,189752,0.00%,normal,RP11-289H16.1,1.498703639,0.034780517,21
brain,normal,189752,,normal,RP11-219A15.1,,,
brain,normal,189752,0.00%,normal,LINC01609,1.545582436,0.052509519,37
brain,normal,189752,0.02%,normal,PHYHIP,1.629568879,0.08427219,1798
brain,normal,189752,0.00%,normal,RP11-745L13.2,1.566035134,0.060244486,112
brain,normal,116035,0.03%,normal,SLC26A3,1.693628692,0.108498848,2977
brain,normal,116035,0.00%,normal,RASGEF1B,1.645673735,0.090362855,341
brain,normal,116035,0.03%,normal,RP11-701H24.9,2.10760209,0.265058651,2872
brain,normal,116035,0.00%,normal,LINGO3,1.612352961,0.077761336,110
brain,normal,116035,0.04%,normal,PDE4DIP,1.703118565,0.112087805,4856
brain,normal,116035,0.03%,normal,AC159540.1,1.627505693,0.083491918,2947
brain,normal,116035,0.00%,normal,RP11-289H16.1,1.510859626,0.039377766,14
brain,normal,116035,,normal,RP11-219A15.1,,,
brain,normal,116035,0.00%,normal,LINC01609,1.616506162,0.079332027,46
brain,normal,116035,0.01%,normal,PHYHIP,1.623025915,0.081797719,1124
brain,normal,116035,0.00%,normal,RP11-745L13.2,1.551910698,0.054902792,77
brain,normal,37965,0.01%,normal,SLC26A3,1.664678674,0.097550296,1258
brain,normal,37965,0.01%,normal,RASGEF1B,1.684439224,0.105023501,758
brain,normal,37965,,normal,RP11-701H24.9,,,
brain,normal,37965,0.00%,normal,LINGO3,1.623909992,0.082132067,46
brain,normal,37965,0.02%,normal,PDE4DIP,1.698158839,0.110212095,1819
brain,normal,37965,0.01%,normal,AC159540.1,1.619877336,0.080606964,740
brain,normal,37965,0.00%,normal,RP11-289H16.1,1.52440989,0.044502315,8
brain,normal,37965,,normal,RP11-219A15.1,,,
brain,normal,37965,0.00%,normal,LINC01609,1.518417903,0.042236217,21
brain,normal,37965,0.00%,normal,PHYHIP,1.615805378,0.079066999,235
brain,normal,37965,0.00%,normal,RP11-745L13.2,1.615384041,0.078907654,47
brain,normal,184529,0.07%,normal,SLC26A3,1.688203941,0.106447272,7655
brain,normal,184529,0.01%,normal,RASGEF1B,1.689610053,0.106979047,907
brain,normal,184529,0.05%,normal,RP11-701H24.9,2.121997184,0.270502704,5996
brain,normal,184529,0.00%,normal,LINGO3,1.642395721,0.089123149,348
brain,normal,184529,0.15%,normal,PDE4DIP,1.679400248,0.10311782,16332
brain,normal,184529,0.06%,normal,AC159540.1,1.693895254,0.108599658,6586
brain,normal,184529,0.00%,normal,RP11-289H16.1,1.501599176,0.035875575,7
brain,normal,184529,,normal,RP11-219A15.1,,,
brain,normal,184529,0.00%,normal,LINC01609,1.595158713,0.071258676,28
brain,normal,184529,0.01%,normal,PHYHIP,1.650981774,0.092370292,1602
brain,normal,184529,0.00%,normal,RP11-745L13.2,1.543058936,0.051555162,67
brain,normal,99,0.00%,normal,SLC26A3,1.885510087,0.181066103,1
brain,normal,99,0.00%,normal,RASGEF1B,1.838610172,0.163329115,4
brain,normal,99,,normal,RP11-701H24.9,,,
brain,normal,99,,normal,LINGO3,,,
brain,normal,99,0.00%,normal,PDE4DIP,2.081908841,0.25534177,90
brain,normal,99,,normal,AC159540.1,,,
brain,normal,99,,normal,RP11-289H16.1,,,
brain,normal,99,,normal,RP11-219A15.1,,,
brain,normal,99,,normal,LINC01609,,,
brain,normal,99,0.00%,normal,PHYHIP,1.566212336,0.060311502,3
brain,normal,99,,normal,RP11-745L13.2,,,
brain,normal,15140,0.00%,normal,SLC26A3,1.655393611,0.094038796,354
brain,normal,15140,0.01%,normal,RASGEF1B,1.891480998,0.183324231,1054
brain,normal,15140,,normal,RP11-701H24.9,,,
brain,normal,15140,0.00%,normal,LINGO3,1.667955208,0.098789442,10
brain,normal,15140,0.01%,normal,PDE4DIP,1.784273009,0.142779448,1104
brain,normal,15140,0.00%,normal,AC159540.1,1.624912717,0.082511286,243
brain,normal,15140,0.00%,normal,RP11-289H16.1,1.409069538,0.000881969,1
brain,normal,15140,,normal,RP11-219A15.1,,,
brain,normal,15140,0.00%,normal,LINC01609,1.569182873,0.061434923,3
brain,normal,15140,0.00%,normal,PHYHIP,1.597064834,0.071979548,83
brain,normal,15140,0.00%,normal,RP11-745L13.2,1.510001659,0.039053294,5
brain,normal,4712,0.00%,normal,SLC26A3,1.764224291,0.135197262,4
brain,normal,4712,0.00%,normal,RASGEF1B,1.52484421,0.044666569,142
brain,normal,4712,,normal,RP11-701H24.9,,,
brain,normal,4712,,normal,LINGO3,,,
brain,normal,4712,0.04%,normal,PDE4DIP,1.977944966,0.216023872,4487
brain,normal,4712,0.03%,normal,AC159540.1,1.775037462,0.139286674,3368
brain,normal,4712,0.03%,normal,RP11-289H16.1,1.734853228,0.124089476,3254
brain,normal,4712,,normal,RP11-219A15.1,,,
brain,normal,4712,,normal,LINC01609,,,
brain,normal,4712,0.00%,normal,PHYHIP,1.723046541,0.119624328,8
brain,normal,4712,0.01%,normal,RP11-745L13.2,1.571933322,0.06247511,612
brain,normal,2098,,normal,SLC26A3,,,
brain,normal,2098,0.00%,normal,RASGEF1B,1.529220963,0.046321805,40
brain,normal,2098,,normal,RP11-701H24.9,,,
brain,normal,2098,,normal,LINGO3,,,
brain,normal,2098,0.02%,normal,PDE4DIP,2.003003812,0.225500829,2019
brain,normal,2098,0.02%,normal,AC159540.1,1.791063596,0.145347567,1766
brain,normal,2098,0.01%,normal,RP11-289H16.1,1.729790511,0.122174817,1532
brain,normal,2098,,normal,RP11-219A15.1,,,
brain,normal,2098,,normal,LINC01609,,,
brain,normal,2098,0.00%,normal,PHYHIP,1.831790209,0.160749886,2
brain,normal,2098,0.00%,normal,RP11-745L13.2,1.557425525,0.056988434,296
brain,normal,2400,0.00%,normal,SLC26A3,1.764224291,0.135197262,4
brain,normal,2400,0.00%,normal,RASGEF1B,1.521511383,0.043406134,100
brain,normal,2400,,normal,RP11-701H24.9,,,
brain,normal,2400,,normal,LINGO3,,,
brain,normal,2400,0.02%,normal,PDE4DIP,1.943190504,0.202880149,2264
brain,normal,2400,0.01%,normal,AC159540.1,1.761271585,0.134080584,1526
brain,normal,2400,0.01%,normal,RP11-289H16.1,1.742852466,0.127114692,1654
brain,normal,2400,,normal,RP11-219A15.1,,,
brain,normal,2400,,normal,LINC01609,,,
brain,normal,2400,0.00%,normal,PHYHIP,1.686798731,0.105915838,6
brain,normal,2400,0.00%,normal,RP11-745L13.2,1.56669247,0.060493082,227
brain,normal,2452977,0.51%,normal,SLC26A3,1.989583745,0.22042552,56922
brain,normal,2452977,0.78%,normal,RASGEF1B,2.391093759,0.372271819,86065
brain,normal,2452977,0.50%,normal,RP11-701H24.9,1.948157332,0.204758545,55034
brain,normal,2452977,0.02%,normal,LINGO3,1.850567913,0.16785139,2709
brain,normal,2452977,1.26%,normal,PDE4DIP,1.824606114,0.158032947,139555
brain,normal,2452977,0.41%,normal,AC159540.1,1.854293991,0.169260548,45774
brain,normal,2452977,0.23%,normal,RP11-289H16.1,1.973737293,0.214432581,25601
brain,normal,2452977,0.11%,normal,RP11-219A15.1,1.835944583,0.162321021,12684
brain,normal,2452977,0.09%,normal,LINC01609,2.279108849,0.329920462,9837
brain,normal,2452977,0.95%,normal,PHYHIP,1.767950044,0.136606297,105119
brain,normal,2452977,0.12%,normal,RP11-745L13.2,1.912237364,0.191174041,13261
brain,Alzheimer disease,49706,0.27%,Alzheimer disease,SLC26A3,2.473417021,0.403405495,29832
brain,Alzheimer disease,49706,0.36%,Alzheimer disease,RASGEF1B,3.126494519,0.650391618,39786
brain,Alzheimer disease,49706,0.24%,Alzheimer disease,RP11-701H24.9,1.91402703,0.191850871,26431
brain,Alzheimer disease,49706,0.00%,Alzheimer disease,LINGO3,1.801422755,0.149265277,60
brain,Alzheimer disease,49706,0.33%,Alzheimer disease,PDE4DIP,2.047802981,0.242443341,36243
brain,Alzheimer disease,49706,0.21%,Alzheimer disease,AC159540.1,1.908520536,0.189768381,22718
brain,Alzheimer disease,49706,0.16%,Alzheimer disease,RP11-289H16.1,1.915489371,0.192403911,17822
brain,Alzheimer disease,49706,0.10%,Alzheimer disease,RP11-219A15.1,1.830144446,0.160127478,11338
brain,Alzheimer disease,49706,0.15%,Alzheimer disease,LINC01609,2.181154037,0.29287512,16152
brain,Alzheimer disease,49706,0.18%,Alzheimer disease,PHYHIP,1.988804453,0.220130801,19561
brain,Alzheimer disease,49706,0.09%,Alzheimer disease,RP11-745L13.2,1.788026342,0.144198913,9668
brain,normal,66348,0.01%,normal,SLC26A3,1.648604735,0.091471324,1173
brain,normal,66348,0.00%,normal,RASGEF1B,1.593871957,0.07077204,135
brain,normal,66348,0.02%,normal,RP11-701H24.9,1.939536977,0.201498429,1811
brain,normal,66348,0.00%,normal,LINGO3,1.613353832,0.078139853,37
brain,normal,66348,0.01%,normal,PDE4DIP,1.53738293,0.049408564,1245
brain,normal,66348,0.00%,normal,AC159540.1,1.576900436,0.064353613,411
brain,normal,66348,,normal,RP11-289H16.1,,,
brain,normal,66348,,normal,RP11-219A15.1,,,
brain,normal,66348,,normal,LINC01609,,,
brain,normal,66348,0.01%,normal,PHYHIP,1.612751626,0.077912106,1246
brain,normal,66348,0.00%,normal,RP11-745L13.2,1.562346268,0.058849401,5
brain,normal,4706,0.00%,normal,SLC26A3,1.538929588,0.049993491,19
brain,normal,4706,0.00%,normal,RASGEF1B,1.600906474,0.073432411,75
brain,normal,4706,0.02%,normal,RP11-701H24.9,1.939536977,0.201498429,1811
brain,normal,4706,,normal,LINGO3,,,
brain,normal,4706,,normal,PDE4DIP,,,
brain,normal,4706,,normal,AC159540.1,,,
brain,normal,4706,,normal,RP11-289H16.1,,,
brain,normal,4706,,normal,RP11-219A15.1,,,
brain,normal,4706,,normal,LINC01609,,,
brain,normal,4706,0.00%,normal,PHYHIP,1.634855065,0.086271363,260
brain,normal,4706,,normal,RP11-745L13.2,,,
brain,normal,1313512,0.26%,normal,SLC26A3,1.663273603,0.097018915,29219
brain,normal,1313512,0.05%,normal,RASGEF1B,1.574857489,0.063580995,5173
brain,normal,1313512,0.30%,normal,RP11-701H24.9,1.936873688,0.200491205,32881
brain,normal,1313512,0.01%,normal,LINGO3,1.600477686,0.073270248,901
brain,normal,1313512,0.41%,normal,PDE4DIP,1.545901941,0.052630352,45708
brain,normal,1313512,0.04%,normal,AC159540.1,1.572755419,0.062786017,4843
brain,normal,1313512,0.00%,normal,RP11-289H16.1,1.463667764,0.021530367,9
brain,normal,1313512,,normal,RP11-219A15.1,,,
brain,normal,1313512,0.00%,normal,LINC01609,1.616598638,0.079367,15
brain,normal,1313512,0.55%,normal,PHYHIP,1.62852729,0.083878274,61146
brain,normal,1313512,0.00%,normal,RP11-745L13.2,1.534042513,0.048145258,297
brain,normal,35993,0.00%,normal,SLC26A3,1.607308765,0.075853681,235
brain,normal,35993,0.01%,normal,RASGEF1B,1.612323698,0.077750269,1220
brain,normal,35993,0.27%,normal,RP11-701H24.9,1.944464606,0.203362,29471
brain,normal,35993,0.00%,normal,LINGO3,1.527686238,0.045741391,1
brain,normal,35993,,normal,PDE4DIP,,,
brain,normal,35993,,normal,AC159540.1,,,
brain,normal,35993,,normal,RP11-289H16.1,,,
brain,normal,35993,,normal,RP11-219A15.1,,,
brain,normal,35993,,normal,LINC01609,,,
brain,normal,35993,0.07%,normal,PHYHIP,1.681375362,0.103864785,7201
brain,normal,35993,,normal,RP11-745L13.2,,,
brain,normal,4205,0.00%,normal,SLC26A3,1.779785919,0.141082484,20
brain,normal,4205,0.00%,normal,RASGEF1B,1.611771393,0.077541393,50
brain,normal,4205,0.03%,normal,RP11-701H24.9,1.871269302,0.175680408,3410
brain,normal,4205,,normal,LINGO3,,,
brain,normal,4205,,normal,PDE4DIP,,,
brain,normal,4205,,normal,AC159540.1,,,
brain,normal,4205,,normal,RP11-289H16.1,,,
brain,normal,4205,,normal,RP11-219A15.1,,,
brain,normal,4205,,normal,LINC01609,,,
brain,normal,4205,0.00%,normal,PHYHIP,1.640494048,0.088403959,536
brain,normal,4205,,normal,RP11-745L13.2,,,
brain,normal,42720,0.01%,normal,SLC26A3,1.731984954,0.123004729,1022
brain,normal,42720,0.00%,normal,RASGEF1B,1.656709671,0.094536514,72
brain,normal,42720,0.01%,normal,RP11-701H24.9,2.067508092,0.249895579,1103
brain,normal,42720,0.00%,normal,LINGO3,1.614461787,0.078558868,68
brain,normal,42720,0.02%,normal,PDE4DIP,1.577583066,0.064611776,1943
brain,normal,42720,0.01%,normal,AC159540.1,1.60690348,0.075700407,831
brain,normal,42720,0.00%,normal,RP11-289H16.1,1.443430305,0.013876801,1
brain,normal,42720,,normal,RP11-219A15.1,,,
brain,normal,42720,0.00%,normal,LINC01609,1.446811914,0.015155686,2
brain,normal,42720,0.00%,normal,PHYHIP,1.603116353,0.074268161,528
brain,normal,42720,0.00%,normal,RP11-745L13.2,1.617331187,0.079644041,3
brain,normal,1215,0.00%,normal,SLC26A3,1.672098333,0.100356323,11
brain,normal,1215,0.00%,normal,RASGEF1B,1.719344003,0.118224072,35
brain,normal,1215,0.01%,normal,RP11-701H24.9,2.067508092,0.249895579,1103
brain,normal,1215,,normal,LINGO3,,,
brain,normal,1215,,normal,PDE4DIP,,,
brain,normal,1215,,normal,AC159540.1,,,
brain,normal,1215,,normal,RP11-289H16.1,,,
brain,normal,1215,,normal,RP11-219A15.1,,,
brain,normal,1215,,normal,LINC01609,,,
brain,normal,1215,0.00%,normal,PHYHIP,1.631840339,0.08513123,104
brain,normal,1215,,normal,RP11-745L13.2,,,
brain,normal,45688,0.01%,normal,SLC26A3,1.636324369,0.086827036,832
brain,normal,45688,0.00%,normal,RASGEF1B,1.614612824,0.078615989,109
brain,normal,45688,0.01%,normal,RP11-701H24.9,1.917848857,0.19329624,1458
brain,normal,45688,0.00%,normal,LINGO3,1.64401487,0.089735492,41
brain,normal,45688,0.01%,normal,PDE4DIP,1.550809067,0.054486169,983
brain,normal,45688,0.00%,normal,AC159540.1,1.584366497,0.067177189,117
brain,normal,45688,,normal,RP11-289H16.1,,,
brain,normal,45688,,normal,RP11-219A15.1,,,
brain,normal,45688,,normal,LINC01609,,,
brain,normal,45688,0.01%,normal,PHYHIP,1.62816648,0.08374182,814
brain,normal,45688,,normal,RP11-745L13.2,,,
brain,normal,10733,0.00%,normal,SLC26A3,1.810247144,0.152602556,213
brain,normal,10733,,normal,RASGEF1B,,,
brain,normal,10733,0.00%,normal,RP11-701H24.9,2.037691731,0.238619387,242
brain,normal,10733,0.00%,normal,LINGO3,1.577376246,0.064533559,4
brain,normal,10733,0.00%,normal,PDE4DIP,1.521815726,0.043521233,506
brain,normal,10733,0.00%,normal,AC159540.1,1.603734016,0.074501754,6
brain,normal,10733,,normal,RP11-289H16.1,,,
brain,normal,10733,,normal,RP11-219A15.1,,,
brain,normal,10733,,normal,LINC01609,,,
brain,normal,10733,0.00%,normal,PHYHIP,1.634420839,0.086107144,73
brain,normal,10733,,normal,RP11-745L13.2,,,
brain,normal,3824,0.00%,normal,SLC26A3,2.318691775,0.344890252,417
brain,normal,3824,0.02%,normal,RASGEF1B,2.609999989,0.455059545,1793
brain,normal,3824,,normal,RP11-701H24.9,,,
brain,normal,3824,0.00%,normal,LINGO3,1.927794615,0.197057608,6
brain,normal,3824,0.00%,normal,PDE4DIP,2.069727106,0.250734783,118
brain,normal,3824,0.00%,normal,AC159540.1,2.056842511,0.245861983,468
brain,normal,3824,0.00%,normal,RP11-289H16.1,2.217548898,0.306639222,383
brain,normal,3824,0.00%,normal,RP11-219A15.1,1.941546122,0.202258264,36
brain,normal,3824,0.00%,normal,LINC01609,2.140764285,0.277600197,78
brain,normal,3824,0.00%,normal,PHYHIP,1.936258723,0.200258632,89
brain,normal,3824,0.00%,normal,RP11-745L13.2,2.210442164,0.30395154,93
brain,normal,55981,0.03%,normal,SLC26A3,2.037779467,0.238652567,3819
brain,normal,55981,0.13%,normal,RASGEF1B,2.239759695,0.315039081,14216
brain,normal,55981,0.00%,normal,RP11-701H24.9,2.222875642,0.308653733,82
brain,normal,55981,0.00%,normal,LINGO3,1.70131073,0.111404103,160
brain,normal,55981,0.08%,normal,PDE4DIP,1.807452969,0.151545832,9039
brain,normal,55981,0.05%,normal,AC159540.1,1.736519749,0.124719734,5137
brain,normal,55981,0.08%,normal,RP11-289H16.1,1.972261799,0.213874566,8576
brain,normal,55981,0.01%,normal,RP11-219A15.1,1.602776321,0.074139564,674
brain,normal,55981,0.02%,normal,LINC01609,2.111825274,0.266655808,2533
brain,normal,55981,0.08%,normal,PHYHIP,1.820775669,0.156584318,8322
brain,normal,55981,0.01%,normal,RP11-745L13.2,1.862349118,0.172306901,816
brain,normal,138,0.00%,normal,SLC26A3,2.02827088,0.235056533,6
brain,normal,138,0.00%,normal,RASGEF1B,2.296149418,0.336365002,29
brain,normal,138,,normal,RP11-701H24.9,,,
brain,normal,138,,normal,LINGO3,,,
brain,normal,138,0.00%,normal,PDE4DIP,1.561891397,0.058677374,6
brain,normal,138,0.00%,normal,AC159540.1,1.83921814,0.163559041,63
brain,normal,138,0.00%,normal,RP11-289H16.1,1.618831952,0.080211613,6
brain,normal,138,,normal,RP11-219A15.1,,,
brain,normal,138,0.00%,normal,LINC01609,1.785852623,0.143376839,5
brain,normal,138,,normal,PHYHIP,,,
brain,normal,138,,normal,RP11-745L13.2,,,
brain,normal,8765,0.00%,normal,SLC26A3,1.739021063,0.125665701,2
brain,normal,8765,0.01%,normal,RASGEF1B,1.839744491,0.163758101,1493
brain,normal,8765,,normal,RP11-701H24.9,,,
brain,normal,8765,0.00%,normal,LINGO3,2.263676235,0.324084031,7
brain,normal,8765,0.01%,normal,PDE4DIP,2.236088036,0.313650503,693
brain,normal,8765,,normal,AC159540.1,,,
brain,normal,8765,,normal,RP11-289H16.1,,,
brain,normal,8765,,normal,RP11-219A15.1,,,
brain,normal,8765,,normal,LINC01609,,,
brain,normal,8765,0.00%,normal,PHYHIP,1.8842628,0.180594394,2
brain,normal,8765,0.00%,normal,RP11-745L13.2,1.525398254,0.044876102,6
brain,normal,10010059,3.31%,normal,SLC26A3,2.118466431,0.269167415,365784
brain,normal,10010059,8.93%,normal,RASGEF1B,2.352334007,0.357613343,987465
brain,normal,10010059,1.42%,normal,RP11-701H24.9,1.982926893,0.217907978,156670
brain,normal,10010059,0.45%,normal,LINGO3,1.933556121,0.199236541,50244
brain,normal,10010059,7.94%,normal,PDE4DIP,1.9715448,0.213603406,877120
brain,normal,10010059,1.34%,normal,AC159540.1,1.851657632,0.168263509,148231
brain,normal,10010059,0.62%,normal,RP11-289H16.1,1.895979938,0.185025676,68850
brain,normal,10010059,0.32%,normal,RP11-219A15.1,1.814925525,0.154371864,35788
brain,normal,10010059,0.19%,normal,LINC01609,2.180195627,0.292512661,21233
brain,normal,10010059,2.48%,normal,PHYHIP,1.787911736,0.144155571,274478
brain,normal,10010059,0.40%,normal,RP11-745L13.2,1.824915592,0.158149988,44279
brain,Alzheimer disease,237206,1.06%,Alzheimer disease,SLC26A3,2.374869889,0.366136145,116967
brain,Alzheimer disease,237206,1.57%,Alzheimer disease,RASGEF1B,2.886582098,0.559659601,173085
brain,Alzheimer disease,237206,0.82%,Alzheimer disease,RP11-701H24.9,1.924919212,0.195970165,90592
brain,Alzheimer disease,237206,0.00%,Alzheimer disease,LINGO3,1.803185825,0.149932049,290
brain,Alzheimer disease,237206,1.17%,Alzheimer disease,PDE4DIP,2.091459609,0.258953757,129795
brain,Alzheimer disease,237206,0.56%,Alzheimer disease,AC159540.1,1.915150238,0.192275655,61962
brain,Alzheimer disease,237206,0.43%,Alzheimer disease,RP11-289H16.1,1.893297524,0.184011219,47392
brain,Alzheimer disease,237206,0.37%,Alzheimer disease,RP11-219A15.1,1.840842419,0.164173324,40597
brain,Alzheimer disease,237206,0.37%,Alzheimer disease,LINC01609,2.321987662,0.346136717,41274
brain,Alzheimer disease,237206,0.54%,Alzheimer disease,PHYHIP,2.030806636,0.236015526,59506
brain,Alzheimer disease,237206,0.29%,Alzheimer disease,RP11-745L13.2,1.827149492,0.158994822,32403
brain,normal,7130624,1.04%,normal,SLC26A3,1.964389995,0.210897544,115331
brain,normal,7130624,4.58%,normal,RASGEF1B,2.141576264,0.277907278,506251
brain,normal,7130624,1.12%,normal,RP11-701H24.9,2.006199819,0.226709521,123552
brain,normal,7130624,0.40%,normal,LINGO3,1.940096119,0.20170989,43686
brain,normal,7130624,3.96%,normal,PDE4DIP,1.853942215,0.169127511,437733
brain,normal,7130624,1.20%,normal,AC159540.1,1.855393969,0.169676547,133045
brain,normal,7130624,0.55%,normal,RP11-289H16.1,1.901572408,0.187140681,61191
brain,normal,7130624,0.24%,normal,RP11-219A15.1,1.793365698,0.146218194,26442
brain,normal,7130624,0.14%,normal,LINC01609,2.203154442,0.301195411,15921
brain,normal,7130624,1.90%,normal,PHYHIP,1.759473032,0.133400392,209849
brain,normal,7130624,0.30%,normal,RP11-745L13.2,1.823777241,0.157719477,33647
brain,Alzheimer disease,131024,0.66%,Alzheimer disease,SLC26A3,2.283677288,0.331648191,73423
brain,Alzheimer disease,131024,0.98%,Alzheimer disease,RASGEF1B,2.797215323,0.525862152,108307
brain,Alzheimer disease,131024,0.66%,Alzheimer disease,RP11-701H24.9,1.94263294,0.202669285,72951
brain,Alzheimer disease,131024,0.00%,Alzheimer disease,LINGO3,1.781415574,0.1416988,188
brain,Alzheimer disease,131024,0.81%,Alzheimer disease,PDE4DIP,2.031902209,0.236429858,89791
brain,Alzheimer disease,131024,0.50%,Alzheimer disease,AC159540.1,1.913330796,0.191587564,55094
brain,Alzheimer disease,131024,0.38%,Alzheimer disease,RP11-289H16.1,1.878664864,0.178477322,41573
brain,Alzheimer disease,131024,0.26%,Alzheimer disease,RP11-219A15.1,1.825829603,0.158495656,28275
brain,Alzheimer disease,131024,0.21%,Alzheimer disease,LINC01609,2.186793708,0.295007976,23461
brain,Alzheimer disease,131024,0.50%,Alzheimer disease,PHYHIP,2.033509659,0.237037777,55000
brain,Alzheimer disease,131024,0.24%,Alzheimer disease,RP11-745L13.2,1.80711738,0.151418916,26350
brain,normal,940515,0.29%,normal,SLC26A3,1.794338756,0.146586193,31880
brain,normal,940515,0.23%,normal,RASGEF1B,2.182445591,0.29336357,25843
brain,normal,940515,0.32%,normal,RP11-701H24.9,2.134251334,0.275137077,35782
brain,normal,940515,0.02%,normal,LINGO3,1.863112526,0.172595613,1774
brain,normal,940515,1.12%,normal,PDE4DIP,1.942567036,0.202644361,123852
brain,normal,940515,0.28%,normal,AC159540.1,1.792738535,0.145981009,30593
brain,normal,940515,0.06%,normal,RP11-289H16.1,1.892447206,0.183689639,6870
brain,normal,940515,0.04%,normal,RP11-219A15.1,1.784769034,0.142967039,4440
brain,normal,940515,0.01%,normal,LINC01609,1.894702911,0.18454272,576
brain,normal,940515,0.10%,normal,PHYHIP,1.761859254,0.134302833,11357
brain,normal,940515,0.04%,normal,RP11-745L13.2,1.803069456,0.14988804,4937
brain,normal,908152,0.28%,normal,SLC26A3,1.781426618,0.141702977,30654
brain,normal,908152,0.18%,normal,RASGEF1B,2.122565393,0.270717593,20181
brain,normal,908152,0.32%,normal,RP11-701H24.9,2.134251334,0.275137077,35782
brain,normal,908152,0.02%,normal,LINGO3,1.865274004,0.173413058,1688
brain,normal,908152,0.97%,normal,PDE4DIP,1.898522382,0.185987198,106950
brain,normal,908152,0.27%,normal,AC159540.1,1.78793224,0.144163325,29380
brain,normal,908152,0.05%,normal,RP11-289H16.1,1.843465919,0.165165501,5208
brain,normal,908152,0.04%,normal,RP11-219A15.1,1.783469074,0.142475409,4366
brain,normal,908152,0.00%,normal,LINC01609,1.810396486,0.152659035,347
brain,normal,908152,0.09%,normal,PHYHIP,1.761539715,0.134181987,10331
brain,normal,908152,0.04%,normal,RP11-745L13.2,1.793067953,0.146105591,4735
brain,Alzheimer disease,22076,0.08%,Alzheimer disease,SLC26A3,2.095732478,0.260569705,9249
brain,Alzheimer disease,22076,0.15%,Alzheimer disease,RASGEF1B,2.388238334,0.371191932,16038
brain,Alzheimer disease,22076,0.14%,Alzheimer disease,RP11-701H24.9,2.045316061,0.241502817,15028
brain,Alzheimer disease,22076,0.00%,Alzheimer disease,LINGO3,1.911415736,0.190863311,24
brain,Alzheimer disease,22076,0.13%,Alzheimer disease,PDE4DIP,2.049287551,0.243004787,14756
brain,Alzheimer disease,22076,0.09%,Alzheimer disease,AC159540.1,1.952758689,0.206498723,9784
brain,Alzheimer disease,22076,0.05%,Alzheimer disease,RP11-289H16.1,1.865922714,0.173658392,5001
brain,Alzheimer disease,22076,0.04%,Alzheimer disease,RP11-219A15.1,1.839160082,0.163537084,3971
brain,Alzheimer disease,22076,0.00%,Alzheimer disease,LINC01609,1.775304621,0.13938771,198
brain,Alzheimer disease,22076,0.04%,Alzheimer disease,PHYHIP,1.869846124,0.175142179,3999
brain,Alzheimer disease,22076,0.04%,Alzheimer disease,RP11-745L13.2,1.858718131,0.170933705,4860
brain,normal,848487,0.22%,normal,SLC26A3,1.696278594,0.109501009,24628
brain,normal,848487,0.09%,normal,RASGEF1B,1.928512691,0.197329175,9719
brain,normal,848487,0.18%,normal,RP11-701H24.9,2.165136058,0.286817311,19794
brain,normal,848487,0.01%,normal,LINGO3,1.637759509,0.087369789,888
brain,normal,848487,0.92%,normal,PDE4DIP,1.908119529,0.189616725,102123
brain,normal,848487,0.18%,normal,AC159540.1,1.68744187,0.106159066,19958
brain,normal,848487,0.00%,normal,RP11-289H16.1,2.124240436,0.271351075,443
brain,normal,848487,0.01%,normal,RP11-219A15.1,1.760462815,0.133774716,835
brain,normal,848487,0.00%,normal,LINC01609,1.769028299,0.13701408,233
brain,normal,848487,0.06%,normal,PHYHIP,1.64781836,0.091173927,6959
brain,normal,848487,0.00%,normal,RP11-745L13.2,1.698747423,0.110434691,450
brain,normal,842737,0.22%,normal,SLC26A3,1.685470544,0.105413534,24206
brain,normal,842737,0.07%,normal,RASGEF1B,1.762572738,0.134572664,7752
brain,normal,842737,0.18%,normal,RP11-701H24.9,2.165136058,0.286817311,19794
brain,normal,842737,0.01%,normal,LINGO3,1.633500279,0.085758999,875
brain,normal,842737,0.92%,normal,PDE4DIP,1.905896325,0.188775935,101479
brain,normal,842737,0.18%,normal,AC159540.1,1.678571643,0.102804452,19490
brain,normal,842737,0.00%,normal,RP11-289H16.1,1.528621546,0.046095113,60
brain,normal,842737,0.01%,normal,RP11-219A15.1,1.752303905,0.130689114,799
brain,normal,842737,0.00%,normal,LINC01609,1.58196106,0.066267481,155
